result,dif_goal,dif_possession,dif_shot_on_goal,dif_shot,dif_corner
3,-1.1,-0.03885714285714287,-3.042857142857143,-1.6714285714285708,-1.9142857142857146
3,1.0714285714285714,0.07514285714285718,2.4142857142857146,4.457142857142857,4.171428571428571
0,0.40000000000000013,-0.14100000000000007,-2.0,-4.4,-1.2999999999999998
3,0.2999999999999998,0.1509999999999999,0.5,1.799999999999999,4.6
3,2.4,0.012000000000000122,2.8,5.600000000000001,2.5
1,0.12857142857142856,-0.009142857142857175,-0.057142857142857384,-0.5428571428571427,-0.5571428571428569
3,1.6999999999999997,0.02100000000000002,2.1000000000000005,7.699999999999999,1.0
0,0.30000000000000004,-0.04600000000000004,0.8000000000000003,0.09999999999999964,0.7000000000000002
0,-0.19999999999999996,-0.14299999999999996,-0.7999999999999998,-5.0,-0.8000000000000007
3,1.3,0.14999999999999997,4.3,10.400000000000002,4.1
3,0.11428571428571432,-0.04214285714285715,0.6142857142857143,0.14285714285714235,0.128571428571429
0,-0.40000000000000013,-0.10400000000000004,-2.1999999999999997,-3.6000000000000014,-0.7000000000000002
1,-1.0000000000000002,-0.0029999999999998916,1.6999999999999993,4.9,2.3
0,-0.29999999999999993,-0.09199999999999997,-0.20000000000000018,-1.4000000000000004,1.0
0,0.10000000000000009,0.245,2.1999999999999997,6.0,4.3
3,1.5857142857142854,0.10028571428571431,4.0285714285714285,5.542857142857143,2.528571428571428
1,0.7999999999999999,0.05499999999999999,1.7999999999999998,5.700000000000001,1.0999999999999996
0,-0.7,-0.15428571428571425,-1.9428571428571426,-3.928571428571429,-1.2142857142857144
1,-0.7000000000000002,0.040000000000000036,0.0,0.6999999999999993,-0.8000000000000007
0,0.16666666666666663,0.07833333333333331,0.5,4.0,3.6666666666666665
0,0.0,-0.14699999999999996,-2.8000000000000003,-5.699999999999999,-2.6999999999999993
1,0.10000000000000009,0.012000000000000122,-0.09999999999999964,-1.5999999999999996,-0.1999999999999993
0,0.7999999999999999,0.04700000000000004,1.2999999999999998,4.1,2.3000000000000003
3,-0.19999999999999996,0.09599999999999997,2.3999999999999995,3.9000000000000004,2.5999999999999996
0,-1.7000000000000002,0.039000000000000035,0.20000000000000018,3.200000000000001,-0.10000000000000053
0,-0.9999999999999998,-0.10100000000000009,-0.5999999999999996,1.5999999999999996,0.1999999999999993
1,0.8222222222222223,0.10677777777777775,1.4444444444444446,5.144444444444444,2.4888888888888885
3,-0.6000000000000001,-0.07100000000000001,-2.6000000000000005,-5.0,-0.7000000000000002
3,-0.19999999999999996,0.10099999999999998,-0.5,1.0,1.1
1,1.0,-0.10800000000000004,2.3000000000000007,0.40000000000000036,0.7999999999999998
1,-0.025000000000000022,0.020749999999999935,-0.6000000000000001,2.9749999999999996,1.0
0,-0.6000000000000001,-0.12699999999999995,-1.2000000000000002,-4.699999999999999,-1.1999999999999993
1,0.2999999999999998,-0.066,-0.09999999999999964,2.0,1.6999999999999993
3,2.0444444444444443,0.12922222222222218,5.322222222222222,10.733333333333333,3.133333333333333
3,1.1,0.13299999999999995,5.1,11.8,4.4
1,0.8999999999999999,0.02199999999999991,1.7999999999999998,4.300000000000001,0.5999999999999996
1,0.5,-0.05300000000000005,0.20000000000000018,4.200000000000001,0.09999999999999964
1,0.20000000000000007,0.025999999999999968,-0.5,2.0,1.5
0,0.30000000000000004,0.04500000000000004,1.0,1.0,2.3
0,-0.6222222222222221,-0.06211111111111117,-1.0111111111111115,-1.1222222222222218,1.8666666666666671
0,0.3999999999999999,0.041000000000000036,0.0,-3.0000000000000018,-1.1999999999999993
3,0.7000000000000001,0.09800000000000003,2.5999999999999996,4.1,2.6000000000000005
3,0.375,-0.08000000000000007,1.125,0.25,0.25
3,1.7999999999999998,0.16250000000000003,3.4749999999999996,7.975000000000001,3.8499999999999996
3,0.30000000000000004,-0.013500000000000012,-0.625,-3.4250000000000007,-1.3250000000000002
3,1.6999999999999997,0.14099999999999996,4.800000000000001,10.2,2.9000000000000004
3,1.9,-0.013999999999999901,2.0,6.000000000000002,2.0999999999999996
0,-0.10000000000000009,0.07899999999999996,0.10000000000000053,0.5,3.6999999999999997
1,0.75,0.21999999999999997,2.8,5.525,4.05
3,1.7999999999999998,0.017000000000000126,1.5999999999999996,4.199999999999999,0.10000000000000053
3,0.30000000000000004,0.12699999999999995,2.2,7.800000000000001,3.2
1,0.5,-0.05700000000000005,0.5,-2.9000000000000004,0.5
3,0.30000000000000027,0.06000000000000005,1.1000000000000005,4.5,0.0
0,-0.10000000000000009,0.010000000000000009,-0.10000000000000053,-1.9000000000000004,0.5999999999999996
