result,mean_10_home_goal,mean_10_home_possesion_pct,mean_10_home_shot_on_goal,mean_10_home_shot,mean_10_home_corner,mean_10_away_goal,mean_10_away_possesion_pct,mean_10_away_shot_on_goal,mean_10_away_shot,mean_10_away_corner
0,0.5714285714285714,0.4257142857142857,3.0,12.428571428571429,3.857142857142857,0.5714285714285714,0.42428571428571427,2.5714285714285716,9.142857142857142,3.5714285714285716
3,1.0,0.43714285714285717,3.7142857142857144,12.0,4.142857142857143,1.0,0.40857142857142864,2.2857142857142856,8.857142857142858,4.714285714285714
1,2.25,0.6125,6.25,20.0,9.125,1.75,0.54625,5.5,13.0,5.25
3,1.75,0.51,4.875,13.125,6.25,1.375,0.40375,3.5,10.125,5.125
3,1.875,0.5700000000000001,6.875,21.625,7.375,0.42857142857142855,0.5542857142857143,3.4285714285714284,10.857142857142858,2.857142857142857
0,1.5,0.5225,5.375,17.75,7.625,2.25,0.50875,6.375,16.625,6.125
1,1.0,0.4175,3.0,9.375,5.375,1.125,0.40375,3.875,13.5,4.125
0,1.375,0.5375,5.375,15.875,6.625,1.2857142857142858,0.46714285714285714,4.285714285714286,9.857142857142858,4.0
1,1.2857142857142858,0.5171428571428571,3.857142857142857,12.714285714285714,6.142857142857143,1.5714285714285714,0.5771428571428572,6.857142857142857,17.142857142857142,7.142857142857143
3,0.75,0.46625,3.25,12.25,5.125,0.375,0.4175,1.75,6.5,4.5
3,2.2857142857142856,0.5371428571428571,5.857142857142857,16.571428571428573,6.571428571428571,0.6666666666666666,0.43,3.3333333333333335,11.444444444444445,5.0
3,1.75,0.56,6.125,17.5,9.125,0.75,0.5075000000000001,1.625,7.5,3.625
0,1.1428571428571428,0.47000000000000003,3.5714285714285716,13.285714285714286,5.428571428571429,1.2857142857142858,0.5571428571428572,4.571428571428571,12.285714285714286,5.0
0,1.375,0.51875,4.375,13.125,5.875,0.75,0.54375,3.5,11.0,3.0
1,1.8888888888888888,0.5555555555555556,6.666666666666667,20.88888888888889,7.222222222222222,1.625,0.575,6.625,16.75,6.875
0,1.875,0.505,4.75,13.625,5.25,1.875,0.5275,4.25,13.5,5.875
1,2.25,0.58625,7.375,21.875,8.125,0.7142857142857143,0.5028571428571429,3.4285714285714284,11.285714285714286,6.285714285714286
3,2.125,0.5375,6.0,17.5,6.5,1.125,0.46625,4.625,11.125,4.5
3,2.4444444444444446,0.5966666666666667,6.666666666666667,20.11111111111111,8.88888888888889,1.3333333333333333,0.5744444444444444,5.777777777777778,14.666666666666666,5.888888888888889
0,0.5,0.42374999999999996,3.125,12.5,3.75,1.25,0.56125,4.875,12.25,5.25
1,1.625,0.43625,5.625,15.625,6.375,0.625,0.44875,3.125,10.375,3.75
3,1.75,0.5337500000000001,5.625,17.5,7.125,1.1111111111111112,0.5311111111111111,3.4444444444444446,12.666666666666666,4.666666666666667
1,1.0,0.45,4.0,12.625,5.25,0.625,0.43625,2.625,9.5,3.875
0,0.8888888888888888,0.41444444444444445,3.4444444444444446,9.666666666666666,5.222222222222222,1.0,0.5888888888888889,5.666666666666667,16.22222222222222,6.333333333333333
1,1.0,0.44,3.7777777777777777,11.88888888888889,5.0,1.1,0.542,3.9,13.1,5.2
